,precision,recall,f1-score,support
0,1.0,1.0,1.0,9.0
1,1.0,0.9166666666666666,0.9565217391304348,12.0
2,0.8888888888888888,1.0,0.9411764705882353,8.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.9629629629629629,0.9722222222222222,0.9658994032395567,29.0
weighted avg,0.9693486590038314,0.9655172413793104,0.9657818149748656,29.0
